Date,Value,Pdf
"Sep 16, 2024","Financing for Sustainable Agriculture - Keynote Address by Shri Swaminathan J, Deputy Governor, Reserve Bank of India - September 11, 2024 - at the International Research Conference hosted by the College of Agricultural Banking (CAB), Pune",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/FINANC1609202427DDFE0EC4B14B529F1427C928211448.PDF
"Sep 13, 2024","Global Financial Stability; Risks and Opportunities - Keynote Address by Shri Shaktikanta Das, Governor, Reserve Bank of India - September 13, 2024 - at the Future of Finance Forum 2024 organised by the Bretton Woods Committee, Singapore",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/BWCGOV13092024BAE7EB99E6F24EBC966297ECD4884CC8.PDF
"Sep 12, 2024","Managing the Challenges in Financing Infrastructure: The Road Ahead for NaBFID - Keynote address delivered by Shri M. Rajeshwar Rao, Deputy Governor, Reserve Bank of India - September 12, 2024 - at Infrastructure Conclave organised by National Bank for Financing Infrastructure and Development (NaBFID) at Mumbai",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/NAFID120920245F545DD56764422CB61C3863F6B7543F.PDF
"Sep 03, 2024","Financing India’s Aspirations - Keynote Address delivered by Michael Debabrata Patra, Deputy Governor, Reserve Bank of India - September 3, 2024 - at the Financing 3.0 Summit: Preparing for Viksit Bharat organised by the Confederation of Indian Industries (CII) at Mumbai, India",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/CII0309202421C53C3724A94A5C8D98C064BEB97398.PDF
"Sep 02, 2024","Transforming Financial Landscapes: Building Resilience for Economic Stability - Keynote Address by Shri Swaminathan J, Deputy Governor, Reserve Bank of India - August 30, 2024 - at the ‘Banking Transformation Summit - Season 2’ organised by CNBC TV 18 in Mumbai",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/TTFLSP02092024FF2F88E8667A5444194BF51AE5839FC24.PDF
"Aug 30, 2024","Address by Shri Shaktikanta Das, Governor, Reserve Bank of India at the Global Fintech Fest (GFF), 2024, Mumbai, August 30, 2024",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/GOVSP30082024F1D5C23DD70E746F5837B3255CF58FEF8.PDF
"Aug 22, 2024","Local to Global: The Role of the Financial Sector in MSME's Development - Speech by Shri Swaminathan J, Deputy Governor, Reserve Bank of India - August 21, 2024 - at the Annual Day of the Foreign Exchange Dealers Association of India (FEDAI) held in Mumbai",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/FEDAISP22082024F6F3DFEFFBDD74557AE1B033C1B0CDD8F.PDF
"Aug 19, 2024","Deposit Insurance: Keeping Pace with the Changing Times - Valedictory address delivered by Shri M. Rajeshwar Rao, Deputy Governor, Reserve Bank of India - August 14, 2024 - at IADI Asia-Pacific Regional Committee International Conference 2024 hosted by Deposit Insurance and Credit Guarantee Corporation (DICGC) at Jaipur",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/DICGC19082024F89C00DF009CB47869C1688FEA144CC5F.PDF
"Aug 14, 2024","Financial Stability in the Emerging Technology Landscape - Speech by Shri Swaminathan J, Deputy Governor, Reserve Bank of India - August 14, 2024 - at the International Conference of the International Association of Deposit Insurers- Asia Pacific Regional Committee (IADI-APRC) hosted by the Deposit Insurance Credit Guarantee Corporation (DICGC) held in Jaipur",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/FSE140820246F85129098D94143A566C54448CA880A.PDF
"Aug 13, 2024","Navigating Emerging Challenges for Deposit Insurers and Fortifying Crisis Preparedness - Keynote Address delivered by Michael Debabrata Patra, Deputy Governor, Reserve Bank of India - August 13, 2024 - at the International Association of Deposit Insurers (IADI) Asia Pacific Regional Committee (APRC) International Conference hosted by Deposit Insurance and Credit Guarantee Corporation (DICGC) at Jaipur",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/IADIAPRC130820241B63F2E3A0A745D281E41017F3B0C8D4.PDF
"Jul 25, 2024","Climate Change – The Emerging Challenge - Remarks delivered by Shri M. Rajeshwar Rao, Deputy Governor, Reserve Bank of India - July 19, 2024 - at J P Morgan India Leadership Series Lecture in Mumbai",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/JPMORGANSPEECHDGMRR1CAE2ACAD85A48E9B16C5E585626B1E2.PDF
"Jul 22, 2024","Role of Assurance Functions in Navigating Growth and Risk - Remarks by Shri M Rajeshwar Rao, Deputy Governor, Reserve Bank of India - July 22, 2024 - delivered at BFSI Summit organized by CareEdge in Mumbai",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/DGMRR22072024D35E8D612F5A4E83BC439FB99466909C.PDF
"Jul 12, 2024","Future Readying India’s Monetary Policy - Address delivered by Michael Debabrata Patra, Deputy Governor, Reserve Bank of India - July 9, 2024 - in the Mid-Career Training Programme for officials of the Indian Administrative Service at the Lal Bahadur Shastri National Academy of Administration, Mussoorie",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/FUTUREREADYINGINDIA2F767A8605A1448AB646B93DEA7AEEBF.PDF
"Jul 09, 2024","Shared Vision, Shared Responsibilities: Advancing Assurance in Banking Supervision - Speech by Shri Swaminathan J, Deputy Governor, Reserve Bank of India - July 9, 2024 - at the Conference of Statutory Auditors and Chief Financial Officers of Commercial Banks and All India Financial Institutions, in Mumbai",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/SHAREDVISIONANDSHARERESPONSIBILITY33FEABD928344414A1D5160487134BC2.PDF
"Jan 25, 2024","The Vital Role of Internal Ombudsman in Ensuring Customer-Centric Financial Excellence - Speech by Shri Swaminathan J, Deputy Governor, Reserve Bank of India - January 16, 2024 - at the Conference of Internal Ombudsman in Mumbai",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/VITALROLEOMBUDSMANB837F183498243B380C5B198207B77B6.PDF
"Jan 17, 2024","India’s Journey from Crisis to Confidence - Speech by Shri Shaktikanta Das, Governor, Reserve Bank of India - January 17, 2024 - Delivered at an event organised by the Confederation of Indian Industry (CII), Davos, Switzerland",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/INDIAJOURNEYFROMCRISISTOCONFIDENCEEB24A9AD77BF4AFD8B62925109468446.PDF
"Dec 28, 2023","Building resilient brand India amidst global uncertainty - Speech by Shri Swaminathan J, Deputy Governor, Reserve Bank of India - December 28, 2023 - at the 10th SBI Banking and Economic Conclave in Mumbai",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/BRBISBIC28122023793AA6FD97314C9B886B17899661D199.PDF
"Nov 09, 2023","Emerging India: A Land of Stability and Opportunities - Keynote Speech by Shri Shaktikanta Das, Governor, Reserve Bank of India - November 9, 2023 - Delivered at the Symposium on Indian Economy 2023 organised by Institute of Indian Economic Studies at the Tokyo Chamber of Commerce and Industry, Tokyo, Japan",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/GOVERNORSPEECH09112023690BD0631F3343D99EF54CEFEAA92214.PDF
"Nov 07, 2023","Towards A Greener Cleaner India - Inaugural Address by Dr. Michael Debabrata Patra, Deputy Governor, RBI at the New York Fed Central Banking Seminar organised by the Federal Reserve Bank, New York, on October 9, 2023, at New York",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/NYFEDSPEECH07112023D1426C36BCCF453E86EA0E8F6173691C.PDF
"Nov 02, 2023","Reflections: Challenges in Regulations - Remarks delivered by Shri M. Rajeshwar Rao, Deputy Governor, Reserve Bank of India – November 2, 2023 - at the Gatekeepers of Governance Summit organised by ‘Excellence Enablers’ in Mumbai",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/CHALLENGESINMAKINGREGULATIONS65B77A8BF57841BEB6D102C630CD108F.PDF
"Oct 26, 2023","Fostering Economic Growth through Sustainable Finance and Financial Inclusion - Speech by Shri Swaminathan J, Deputy Governor, Reserve Bank of India - October 12, 2023 - at the Conference on Priority Sector Lending held at College of Agricultural Banking (CAB), Pune",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/FOSTERINGECONOMICGROWTH424B7F3AF2D74C83AD46354DD71AC823.PDF
"Oct 20, 2023","Price and Financial Stability: Managing Complementarities and Trade-Offs - Plenary Address by Shri Shaktikanta Das, Governor, Reserve Bank of India - October 20, 2023 - Delivered at the Kautilya Economic Conclave Organised by the Institute of Economic Growth and Ministry of Finance, Government of India, New Delhi",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/KAUTILIYACONCLAVE853B4C27198645DF80240EDCF4CC4F2A.PDF
"Sep 25, 2023","A Customer Centric Approach-Navigating the Path to Excellence in Customer Service - Speech by Shri Swaminathan J, Deputy Governor, Reserve Bank of India - September 21, 2023 - at the Conference on Customer Service held in Mumbai",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/CUSTOMERCENTRICAPPROACHE61CA09B3E6347C1B0C7712DA3499ADE.PDF
"Sep 21, 2023","India’s Financial Sector - From Exuberance to Resilience - Speech delivered by Michael Debabrata Patra, Deputy Governor, Reserve Bank of India - September 18, 2023 - at the 16th SEACEN-BIS High Level Seminar hosted by the National Bank of Cambodia at Seim Reap, Cambodia",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/SEACENSPEECH18092023B4D760470CB347C2B7DE4B0E5DA9F227.PDF
"Sep 07, 2023","Credit Intermediation – Can regulations tango with markets? - Keynote Address by Shri M. Rajeshwar Rao, Deputy Governor, Reserve Bank of India - September 04, 2023 - at the Inaugural Seminar on Banking Regulation, Intermediary Soundness, and System Stability at IIM Kozhikode",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/CREDITMARKETSDGMRR7DCEDD7FF86644A7BAAA7476AF949D76.PDF
"Sep 06, 2023","FinTech and the Changing Financial Landscape - Keynote Address by Shri Shaktikanta Das, Governor, RBI - September 6, 2023 - at the Global Fintech Festival, Mumbai",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/GOVERNORSPEECHGFF20235114DC26216543F8AD683DD89848581B.PDF
"Sep 05, 2023","FinTech Innovation and approach to regulation - Keynote address delivered by Deputy Governor T Rabi Sankar, Reserve Bank of India - September 5, 2023 - at the Global Fintech Festival in Mumbai",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/DGTRSGFF202366BFA383F4484C498B8E7361D5A8A439.PDF
"May 31, 2023","Governance in Banks: Driving Sustainable Growth and Stability - Speech delivered by Shri M K Jain, Deputy Governor, Reserve Bank of India at the Conference of Directors of Banks organised by the Reserve Bank of India for Public Sector Banks on May 22, 2023 in New Delhi and Private Sector Banks on May 29, 2023 in Mumbai",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/LDKSP31052023FB786F11358BF406983ED3BE285B99D51.PDF
"May 29, 2023","‘Governance in Banks: Driving Sustainable Growth and Stability’ - Inaugural Address by Shri Shaktikanta Das, Governor at the Conference of Directors of Banks organised by the Reserve Bank of India for Public Sector Banks on May 22, 2023 in New Delhi and Private Sector Banks on May 29, 2023 in Mumbai",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/GSS29052023FF03D416D1F0C44F49E0CF7157A3A7E5C.PDF
"May 10, 2023","The Dawn of India’s Age - Inaugural address delivered by Michael Debabrata Patra, Deputy Governor, Reserve Bank of India - May 10, 2023 - at the Indira Gandhi Institute of Development Research (IGIDR) Alumni Conference, Mumbai",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/IGIDR10052023F786E2122E8C044AC88B42BAC8058E7B3.PDF
"Apr 27, 2023","Future-Proofing the Indian Financial System - Inaugural Address by Shri Shaktikanta Das, Governor, Reserve Bank of India - April 27, 2023 - Delivered at the Global Conference on Financial Resilience organised by the College of Supervisors in Mumbai",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/GOVERNORCOSA845BE7D4DF9468FB32B342FC58942C0.PDF
"Apr 03, 2023","Financial Sector as an Enabler for Developed India - Keynote Address by Shri M. Rajeshwar Rao, Deputy Governor, Reserve Bank of India - March 22, 2023 - at the 31st Annual Management Convention of Thrissur Management Association",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/DGMRR030420238EAEBD68C0D64031844A6E9CD58B0D14.PDF
"Mar 18, 2023","Inaugural Address by Shri Shaktikanta Das, Governor, Reserve Bank of India at the Payment System Operators (PSO) Conference, Kochi, March 18, 2023",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/INAUGURALADDRESSPSO70035824C5044221AA0F3ED7CA4D5BCD.PDF
"Mar 10, 2023","The FinTech Revolution in India- Innovation, Inclusion and Regulation - Speech delivered by Shri M K Jain, Deputy Governor, Reserve Bank of India - March 10, 2023 - at the International Research Conference on FinTech: Innovation, Inclusion, and Regulation jointly organized by the Indian Institute of Management (IIM), Ahmedabad and the Centre for Advanced Financial Research and Learning (CAFRAL) in Ahmedabad",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/FINTECHREVOLUTION8824BF0E56B547DD867C7C59B4CE0D0B.PDF
"Mar 09, 2023","Self-Regulation in Financial Markets – Looking Back and Looking Ahead - Keynote address delivered by Shri M. Rajeshwar Rao, Deputy Governor, Reserve Bank of India – March 05, 2023 - at the 17th FEDAI Annual Conference at Cairo, Egypt",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/FEDAI09032023473124D5D18945DD992682D3206C2642.PDF
"Jan 27, 2023","Financial markets in India: In pursuit of stability and development - Keynote Address by Shri Shaktikanta Das, Governor, Reserve Bank of India - January 27, 2023 - at the 22nd FIMMDA-PDAI Annual Conference, Dubai",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/FIMMDAPDAIAC4050F76174E3427F8888178ACE1479E0.PDF
"Jan 06, 2023","South Asia’s Current Macroeconomic Challenges and Policy Priorities - Keynote Address by Shri Shaktikanta Das, Governor, Reserve Bank of India – January 06, 2023 - at the high-level Conference co-organised by International Monetary Fund (IMF) Asia and Pacific Department (APD) and IMF South Asia Regional Training and Technical Assistance Centre (SARTTAC), New Delhi",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/SOUTHASIAPOLICYPRIORITIES5502A51CF24C4B00A6BFC3315681E153.PDF
"Dec 27, 2022","Fintech & Regulation - Speech delivered by Shri T. Rabi Sankar, Deputy Governor, Reserve Bank of India - December 21, 2022 - at the Business Standard Summit in Mumbai",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/DGTRSBUSINESSSTANDARD21DEC20224797E784B70442CCA22EBB9EB0E24D3E.PDF
"Dec 08, 2022","Capacity Building in the Financial Sector in the face of Emerging Challenges - Speech delivered by Shri M K Jain, Deputy Governor, Reserve Bank of India - December 2, 2022 - at the Golden Jubilee celebration function of the National Institute for Banking Studies and Corporate Management (NIBSCOM) in Noida",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/CAPACITYBUILDINGBANKINGSECTOR7B475566DE834E23AC4C9953E4D75CD9.PDF
"Nov 30, 2022","Financial Benchmarks in India: A Coming of Age - Speech delivered by Shri T. Rabi Sankar, Deputy Governor, Reserve Bank of India - November 28, 2022 - at a seminar organised by Financial Benchmarks India Private Limited (FBIL) in Mumbai",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/DGFBILS28NOVEMBER202275034ADB30BB45A2B5FBAD3B1EC4D9EA.PDF
"Nov 24, 2022","The Lighter Side of Making Monetary Policy - Speech delivered by Michael Debabrata Patra, Deputy Governor, Reserve Bank of India - November 24, 2022 - in the 9th SBI Banking and Economics Conclave, Mumbai",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/SBICONCLAVE24112022E9AE712BB63A4378AADC180C881EC90B.PDF
"Nov 19, 2022","Inaugural Address by Shri Shaktikanta Das, Governor, Reserve Bank of India - November 19, 2022 - at the Annual Research Conference of the Department of Economic and Policy Research, Hyderabad",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/SPEECH19112022A9F6F0C3E79849BDB32BF10A7E2414A3.PDF
"Nov 15, 2022","Lost in Transmission? Financial Markets and Monetary Policy - Speech delivered by Michael Debabrata Patra, Deputy Governor, Reserve Bank of India - November 12, 2022 - in the Treasury Heads’ Seminar organised by the Reserve Bank at Lonavala",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/DGMDSP15112022F4DFE5355CA40429BB456490633DAE3EF.PDF
"Nov 07, 2022","Journey Towards an Inclusive and Responsible Microfinance Sector - Keynote address delivered by Shri M. Rajeshwar Rao, Deputy Governor, Reserve Bank of India - November 04, 2022 - at the launch of MFIN’s India Microfinance Review, Mumbai",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/DGMRR0711202227147C2DC46F4ED7BD1C3CAB4E5EDA37.PDF
"Oct 31, 2022","Fifty Years of Indian Banking Through the Lens of Basic Statistical Returns - Speech delivered by Michael Debabrata Patra, Deputy Governor, Reserve Bank of India - October 28, 2022 - in the Conference on ‘BSR@50’ organised by the Bank at Mumbai",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/BSR50_31102022226C403B1FD74DF6AAFF80032B02EC07.PDF
"Oct 28, 2022","Excellence in Customer Service in the Changing Paradigm of Financial Services - Inaugural Address by Shri Shaktikanta Das, Governor, Reserve Bank of India - October 28, 2022 - at the Annual Conference of RBI Ombudsmen, Jodhpur",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/RBIOMBUDSMEN9B333DE28888447AA8BCFEE868C9DC29.PDF
"Oct 21, 2022","Reflections on Policy Choices in the Indian Financial System - 12th R.K. Talwar Memorial Lecture – delivered by Shri M. Rajeshwar Rao, Deputy Governor, Reserve Bank of India, October 21, 2022, Mumbai",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/DGMRRSPEECHRKTALWARMEMORIAL8F8CA6DC803A4161B35A6B9C4A1250D4.PDF
"Jul 09, 2022","Globalisation of Inflation and Conduct of Monetary Policy - Speech by Shri Shaktikanta Das, Governor, Reserve Bank of India - July 9, 2022 - Delivered at the Kautilya Economic Conclave, organised by Institute of Economic Growth in New Delhi",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/GICMP09072022B0F1FDAE3DF84634ABF33D3A7383D029.PDF
"Jun 29, 2022","Inaugural Address by Governor, Shri Shaktikanta Das at the Statistics Day Conference on June 29, 2022",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/STATISTICSDAYCONFERENCEB70B7D55275148039E974527039C5082.PDF
"Jun 24, 2022","Geopolitical Spillovers and the Indian Economy - Keynote Address delivered by Michael Debabrata Patra, Deputy Governor, Reserve Bank of India - June 24, 2022 - Standalone session on ‘Geopolitical Spillovers and the Indian Economy’ organised by the PhD Chamber of Commerce and Industry, New Delhi",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/GEOPOLITICALSPILLOVERS8569698468AA4F0F8E57A66D058BB3F6.PDF
"Jun 20, 2022","Building a Future-ready Banking System - Remarks delivered by Shri M. Rajeshwar Rao, Deputy Governor, Reserve Bank of India – June 16, 2022 - at IMC's 12th Annual Banking & Finance Conference held in Mumbai",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/DG20062022708CC7257EC3423CA26EBC51640BE9E4.PDF
"Jun 10, 2022","Inaugural Address by Governor, Shri Shaktikanta Das at the Annual Statistics Conference of the Department of Statistics and Information Management (DSIM), Reserve Bank of India in Guwahati on June 10, 2022",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/GOVERNORSPEECH27269EB839424C35BADA59BA4DE3B6DA.PDF
